Дата торгов,BR,SBER,SNGS,Si
2015-06-01,65.1,73.5,32.185,53358.0
2015-06-02,65.16,73.29,31.925,53527.0
2015-06-03,64.66,72.74,31.685,53795.0
2015-06-04,63.34,71.34,31.77,55353.0
2015-06-05,61.94,70.92,31.745,56478.0
2015-06-08,62.85,69.91,31.775,56251.0
2015-06-09,63.8,69.38,31.67,55987.0
2015-06-10,65.59,71.32,31.72,54601.0
2015-06-11,65.23,71.31,31.43,54661.0
2015-06-15,64.03,71.26,32.035,55073.0
2015-06-16,62.59,72.32,33.13,55701.0
2015-06-17,64.37,73.61,33.63,55628.0
2015-06-18,63.89,73.53,33.255,55057.0
2015-06-19,63.56,72.25,33.615,55568.0
2015-06-22,62.91,72.06,34.515,55273.0
2015-06-23,63.42,71.96,34.195,55785.0
2015-06-24,64.49,71.93,33.9,55681.0
2015-06-25,63.38,71.81,33.825,56124.0
2015-06-26,62.99,70.72,33.46,56497.0
2015-06-29,62.38,69.94,33.075,56821.0
2015-06-30,62.55,71.44,33.01,57145.0
2015-07-01,62.94,71.87,33.035,56845.0
2015-07-02,62.45,70.64,33.01,57033.0
2015-07-03,61.6,70.51,32.76,57071.0
2015-07-06,59.03,69.39,32.52,57767.0
2015-07-07,56.67,68.89,32.245,58638.0
2015-07-08,56.9,67.4,31.22,58436.0
2015-07-09,57.96,68.52,31.135,58266.0
2015-07-10,58.76,70.61,31.12,57856.0
2015-07-13,57.98,72.19,31.655,57830.0
2015-07-14,57.51,73.0,31.305,57934.0
2015-07-15,58.05,73.54,31.74,57854.0
2015-07-16,57.55,74.0,32.655,57934.0
2015-07-17,57.63,74.69,33.145,58012.0
2015-07-20,56.9,74.7,32.375,57990.0
2015-07-21,56.83,74.74,32.145,57980.0
2015-07-22,56.63,75.22,31.945,58129.0
2015-07-23,56.23,73.59,31.735,58492.0
2015-07-24,55.14,71.54,31.555,59240.0
2015-07-27,54.12,68.64,31.215,60199.0
2015-07-28,53.04,69.37,32.04,61162.0
2015-07-29,53.37,70.55,32.245,60551.0
2015-07-30,53.82,72.05,32.76,60192.0
2015-07-31,53.01,71.39,33.635,61429.0
2015-08-03,51.27,71.04,34.05,63289.0
2015-08-04,50.01,71.83,34.045,63800.0
2015-08-05,50.34,73.35,33.98,63685.0
